-ί|n15907
ἀποτειχίζω|n4481
ἀποτελέω|n4485
ἀποτελευτάω|n4484
ἀποτηλοῦ|n4489
ἀποτιμάω|n4493
ἀποτινάσσω|n4497
ἀποτιστέος|n4499
ἀποτμήγω|n4500
ἀποτμητέος|n4501
ἀποτολμάω|n4503
ἀποτομή|n4504
ἀποτοξεύω|n4506
ἀποτρέπω|n4508
ἀποτρέχω|n4509
ἀποτρίβω|n4510
ἀποτροπή|n4512
ἀποτρωπάω|n4518
ἀποτρόπαιος|n4511
ἀποτρύχω|n4515
ἀποτρύω|n4516
ἀποτρώγω|n4517
ἀποτυγχάνω|n4519
ἀποτυμπανίζω|n4520
ἀποτυπόομαι|n4521
ἀποτύπτομαι|n4522
ἀποτῆλε|n4488
ἀπουρίζω|n4523
ἀπουσία|n4525
ἀποφάσκω|n4532
ἀποφέρβομαι|n4533
ἀποφέρω|n4534
ἀποφαίνω|n4528
ἀποφαιδρύνω|n4527
ἀποφευκτικός|n4536
ἀποφεύγω|n4535
ἀποφθέγγομαι|n4539
ἀποφθίνω|n4545
ἀποφθείρω|n4543
ἀποφθεγματικός|n4542
ἀποφθινύθω|n4544
ἀποφθορά|n4546
ἀποφλαυρίζω|n4547
ἀποφλοιόομαι|n4548
ἀποφοιτάω|n4549
ἀποφορά|n4551
ἀποφράγνυμι|n4552
ἀποφράς|n4554
ἀποφυγή|n4556
ἀποφυγγάνω|n4555
ἀποφυσάω|n4557
ἀποφώλιος|n4558
ἀποχάζομαι|n4559
ἀποχέω|n4568
ἀποχή|n4569
ἀποχαλάω|n4560
ἀποχαλινόω|n4561
ἀποχαλκίζω|n4563
ἀποχαλκεύω|n4562
ἀποχαρακόω|n4564
ἀποχειροβίωτος|n4565
ἀποχειροτονέω|n4566
ἀποχειροτονία|n4567
ἀποχηρόομαι|n4570
ἀποχράομαι|n4572
ἀποχράω|n4573
ἀποχρήματος|n4574
ἀποχραίνω|n4571
ἀποχρώντως|n4575
ἀποχυρόω|n4576
ἀποχωλεύω|n4577
ἀποχωλόομαι|n4578
ἀποχωρέω|n4580
ἀποχωρίζω|n4582
ἀποχώννυμι|n4579
ἀποχώρησις|n4581
ἀποψάω|n4584
ἀποψεύδομαι|n4585
ἀποψηφίζομαι|n4586
ἀποψιλόω|n4587
ἀποψύχω|n4589
ἀππαπαῖ|n4590
ἀπράγμων|n4593
ἀπρέπεια|n4599
ἀπρήυντος|n4602
ἀπρίξ|n4606
ἀπραγία|n4591
ἀπραγμοσύνη|n4592
ἀπρακτέω|n4594
ἀπραξία|n4596
ἀπρασία|n4597
ἀπρεπής|n4600
ἀπρεπίη|n4601
ἀπριάτην|n4603
ἀπρικδόπληκτος|n4605
ἀπροαίρετος|n4607
ἀπροβούλευτος|n4608
ἀπροιδής|n4611
ἀπρομήθεια|n4613
ἀπρομήθης|n4614
ἀπρονόητος|n4615
ἀπροοιμίαστος|n4616
ἀπροσήγορος|n4623
ἀπροσδεής|n4619
ἀπροσδιόνυσος|n4620
ἀπροσδόκητος|n4621
ἀπροσηγορία|n4622
ἀπροσπέλαστος|n4633
ἀπροστασίου|n4634
ἀπροσωπόληπτος|n4636
ἀπροσόμιλος|n4632
ἀπροτίμαστος|n4638
ἀπροφάσιστος|n4639
ἀπροφύλακτος|n4640
ἀπρόβουλος|n4609
ἀπρόθυμος|n4610
ἀπρόοπτος|n4617
ἀπρόσβατος|n4618
ἀπρόσικτος|n4624
ἀπρόσιτος|n4625
ἀπρόσκεπτος|n4626
ἀπρόσκλητος|n4627
ἀπρόσκοπος1|n4628
ἀπρόσκοπος|n4628
ἀπρόσμαχος|n4629
ἀπρόσμικτος|n4630
ἀπρόσοιστος|n4631
ἀπρόσφορος|n4635
ἀπρόσωπος|n4637
ἀπτήν|n4643
ἀπτοεπής|n4644
ἀπτώς|n4647
ἀπφύς|n4653
ἀπωθέω|n4656
ἀπωστέος|n4661
ἀπωστός|n4662
ἀπωτάτω|n4663
ἀπωτέρω|n4664
ἀπό|n4297
ἀπόβασις|n3940
ἀπόβλεπτος|n3947
ἀπόβλητος|n3950
ἀπόγαιος|n3960
ἀπόγνοια|n3967
ἀπόγονος|n3968
ἀπόδειξις|n3987
ἀπόδερμα|n3996
ἀπόδεσμος|n3998
ἀπόδημος|n4006
ἀπόδοσις|n4022
ἀπόδρασις|n4025
ἀπόερσε|n4033
ἀπόζω|n4036
ἀπόθεσις|n4044
ἀπόθεστος|n4045
ἀπόθετος|n4047
ἀπόθλιψις|n4055
ἀπόκαμψις|n4094
ἀπόκειμαι|n4101
ἀπόκινος|n4113
ἀπόκλεισις|n4118
ἀπόκληρος|n4120
ἀπόκλισις|n4123
ἀπόκνησις|n4127
ἀπόκνισμα|n4130
ἀπόκοιτος|n4133
ἀπόκομμα|n4137
ἀπόκρημνος|n4150
ἀπόκριμα|n4151
ἀπόκρισις|n4153
ἀπόκροτος|n4155
ἀπόκρυφος|n4158
ἀπόλαυσις|n4173
ἀπόλαυσμα|n4174
ἀπόλειψις|n4183
ἀπόλεκτος|n4184
ἀπόλεμος|n4185
ἀπόληψις|n4189
ἀπόλλυμι|n4199
ἀπόλλων|n4201
ἀπόλογος|n4208
ἀπόλυσις|n4213
ἀπόμακτρον|n4222
ἀπόμαξις|n4227
ἀπόμαχος|n4233
ἀπόμισθος|n4243
ἀπόμνυμι|n4248
ἀπόμουσος|n4252
ἀπόνητος|n4266
ἀπόνιμμα|n4270
ἀπόνιπτρον|n4272
ἀπόνοια|n4275
ἀπόξενος|n4283
ἀπόξυρος|n4290
ἀπόπατος|n4295
ἀπόπειρα|n4299
ἀπόπεμψις|n4302
ἀπόπληκτος|n4318
ἀπόπλοος1|n4323
ἀπόπλοος|n4323
ἀπόπολις|n4328
ἀπόπροθε|n4335
ἀπόπροθι|n4336
ἀπόπτυστος|n4342
ἀπόρευτος|n4347
ἀπόρθητος|n4350
ἀπόρνυμι|n4353
ἀπόρρηγμα|n4364
ἀπόρρησις|n4366
ἀπόρρητος|n4367
ἀπόρρυτος|n4375
ἀπόρφυρος|n4378
ἀπόσιτος|n4389
ἀπόσκηνος|n4397
ἀπόσπασμα|n4417
ἀπόστασις|n4427
ἀπόστημα|n4445
ἀπόστολος|n4452
ἀπόστροφος|n4458
ἀπότακτος|n4476
ἀπότευξις|n4487
ἀπότιλμα|n4492
ἀπότιμος|n4496
ἀπότομος|n4505
ἀπότροπος|n4513
ἀπότροφος|n4514
ἀπόφανσις|n4529
ἀπόφασις1|@
ἀπόφασις2|@
ἀπόφασις|@
ἀπόφευξις|n4537
ἀπόφημι|n4538
ἀπόφθεγκτος|n4540
ἀπόφθεγμα|n4541
ἀπόφονος|n4550
ἀπόφραξις|n4553
ἀπόχωσις|n4583
ἀπύλωτος|n4648
ἀπύργωτος|n4649
ἀπύρωτος|n4651
ἀπώλεια|n4657
ἀπώμαστος|n4658
ἀπώμοτος|n4659
ἀπᾴδω|n3612
ἀπῳδός|n4654
ἀρά|n4678
ἀράβιος|n4668
ἀράομαι|n4675
ἀράσσω|n4681
ἀράχνη|n4684
ἀράχνης|n4685
ἀράχνιον|n4686
ἀράω1|@
ἀράω2|@
ἀράω|@
ἀρέθουσα|n4759
ἀρέσκευμα|n4768
ἀρέσκω|n4771
ἀρήγω|n4777
ἀρίγνωτος|n4792
ἀρίδακρυς|n4793
ἀρίδηλος|n4795
ἀρίζηλος|n4796
ἀρίθμημα|n4799
ἀρίθμησις|n4800
ἀρίς|n4808
ἀρίσημος|n4807
ἀρίσταθλος|n4809
ἀρίσταρχος|n4810
ἀραβέω|n4665
ἀραβία|n4666
ἀραβικός|n4667
ἀραγμός|n4671
ἀραιός|n4673
ἀραξίχειρος|n4674
ἀραρίσκω|n4679
ἀραρότως|n4680
ἀρατός|n4682
ἀραχναῖος|n4683
ἀραῖος|n4672
ἀρβύλη|n4689
ἀργέλοφοι|n4694
ἀργέω|n4697
ἀργήεις|n4698
ἀργής|n4699
ἀργία|n4700
ἀργίπους|n4708
ἀργαδεῖς|n4690
ἀργαλέος|n4691
ἀργειφόντης|n4693
ἀργεννός|n4695
ἀργεστής|n4696
ἀργεῖος|n4692
ἀργικέραυνος|n4701
ἀργιλλώδης|n4704
ἀργινόεις|n4705
ἀργιπόδης|n4707
ἀργιόδους|n4706
ἀργολίζω|n4711
ἀργολίς|n4713
ἀργολικός|n4712
ἀργοποιός|n4714
ἀργυράγχη|n4718
ἀργυρήλατος|n4724
ἀργυρίδιον|n4725
ἀργυραμοιβικός|n4719
ἀργυραμοιβός|n4720
ἀργυρεύω|n4723
ἀργυρικός|n4726
ἀργυρογνώμων|n4729
ἀργυροδίνης|n4730
ἀργυροειδής|n4731
ἀργυροθήκη|n4733
ἀργυροκόπος|n4734
ἀργυρολογέω|n4735
ἀργυρολογία|n4736
ἀργυρολόγος|n4737
ἀργυροποιός|n4739
ἀργυρορρύτης|n4741
ἀργυροστερής|n4743
ἀργυροφεγγής|n4746
ἀργυρόηλος|n4732
ἀργυρόπεζα|n4738
ἀργυρόπους|n4740
ἀργυρότοιχος|n4744
ἀργυρότοξος|n4745
ἀργυρώδης|n4747
ἀργυρώνητος|n4748
ἀργυρῖτις|n4728
ἀργόθεν|n4710
ἀργός1|@
ἀργός2|@
ἀργός|@
ἀργύρειος|n4721
ἀργύρεος|n4722
ἀργύριον|n4727
ἀργύφεος|n4749
ἀργώ|n4752
ἀργῷος|n4751
ἀρδεία|n4753
ἀρδεύω|n4754
ἀρδμός|n4757
ἀρείτολμος|n4763
ἀρείφατος|n4764
ἀρείων|n4765
ἀρειά|n4760
ἀρειμανής|n4761
ἀρεοπαγίτης|n4766
ἀρεσκεία|n4767
ἀρεσκόντως|n4769
ἀρεστός|n4772
ἀρετάω|n4773
ἀρετή|n4774
ἀρηίθοος|n4778
ἀρηίφιλος|n4780
ἀρηγοσύνη|n4775
ἀρηγών|n4776
ἀρηικτάμενος|n4779
ἀρητήρ|n4784
ἀρητήριον|n4783
ἀρθμέω|n4785
ἀρθμός|n4787
ἀρθροπέδη|n4789
ἀρθρόω|n4790
ἀρθρώδης|n4791
ἀρι|n4805
ἀριδείκετος|n4794
ἀριζήλωτος|n4797
ἀριθμέω|n4798
ἀριθμητικός|n4801
ἀριθμητός|n4802
ἀριθμός|n4803
ἀριπρεπής|n4806
ἀριστάφυλος|n4811
ἀριστάω|n4812
ἀριστίζω|n4818
ἀριστεία|n4813
ἀριστερός|n4815
ἀριστεύς|n4816
ἀριστεύω|n4817
ἀριστεῖα|n4814
ἀριστογένεθλος|n4820
ἀριστογόνος|n4821
ἀριστοκρατέομαι|n4822
ἀριστοκρατία|n4823
ἀριστοκρατικός|n4824
ἀριστοποιέω|n4829
ἀριστοτόκος1|n4831
ἀριστοτόκος|n4831
ἀριστόβουλος|n4819
ἀριστόμαντις|n4825
ἀριστόμαχος|n4826
ἀριστόνοος|n4827
ἀριστότοκος2|n4832
ἀριστότοκος|n4832
ἀριστόχειρ|n4833
ἀριστώδιν|n4834
ἀρισφαλής|n4835
ἀριφραδής|n4836
ἀρκέω|n4840
ἀρκετός|n4839
ἀρκεόντως|n4837
ἀρκτέος|n4842
ἀρκτοῦρος|n4844
ἀρκτῷος|n4845
ἀρκυστασία|n4847
ἀρκυωρός|n4849
ἀρκύστατος|n4848
ἀρνέομαι|n4880
ἀρνήσιμος|n4883
ἀρνίον|n4885
ἀρνακίς|n4876
ἀρνειός|n4877
ἀρνεοθοίνης|n4879
ἀρνευτήρ|n4881
ἀρνεύω|n4882
ἀρνός|n4886
ἀροτήρ|n4890
ἀροτραῖος|n4892
ἀροτρευτήρ|n4894
ἀροτρεύς|n4893
ἀροτρητής|n4895
ἀροτριάω|n4896
ἀροτροδίαυλος|n4897
ἀροτροπόνος|n4899
ἀροτροφορέω|n4900
ἀρουραῖος|n4901
ἀρουρείτης|n4903
ἀρουροπόνος|n4905
ἀρούριον|n4904
ἀρρίγητος|n4939
ἀρραβών|n4924
ἀρρενικός|n4928
ἀρρενωπία|n4930
ἀρρενωπός|n4931
ἀρρενόπαις|n4929
ἀρρηνής|n4933
ἀρρηφορέω|n4935
ἀρρηφορία|n4936
ἀρρηφόρια|n4937
ἀρρηφόροι|n4938
ἀρρυθμέω|n4942
ἀρρυθμία|n4943
ἀρρυτίδωτος|n4945
ἀρρωδέω|n4946
ἀρρωδίη|n4947
ἀρρωστέω|n4949
ἀρρωστία|n4951
ἀρρώξ|n4948
ἀρρώστημα|n4950
ἀρσίπους|n4955
ἀρσενοκοίτης|n4953
ἀρτάβη|n4957
ἀρτάνη|n4960
ἀρτάω|n4961
ἀρτέμων|n4966
ἀρτέομαι|n4967
ἀρτίγαμος|n4973
ἀρτίγονος|n4977
ἀρτίδακρυς|n4979
ἀρτίδορος|n4980
ἀρτίδροπος|n4981
ἀρτίζω|n4984
ἀρτίκολλος|n4987
ἀρτίπλουτος|n4993
ἀρτίπους|n4994
ἀρτίσκαπτος|n4997
ἀρτίστομος|n4998
ἀρτίτοκος|n5000
ἀρτίτροπος|n5002
ἀρτίφρων|n5003
ἀρτίχνους|n5006
ἀρτίχριστος|n5007
ἀρταμέω|n4958
ἀρτεμής|n4962
ἀρτεμία|n4963
ἀρτεμίσιον|n4964
ἀρτηρία|n4969
ἀρτιάζω|n4970
ἀρτιασμός|n4971
ἀρτιβρεχής|n4972
ἀρτιγένειος|n4974
ἀρτιγέννητος|n4975
ἀρτιγλυφής|n4976
ἀρτιδαής|n4978
ἀρτιεπής|n4982
ἀρτιζυγία|n4983
ἀρτιθαλής|n4985
ἀρτιθανής|n4986
ἀρτιλόχευτος|n4988
ἀρτιμαθής|n4989
ἀρτιμελής|n4990
ἀρτιπαγής|n4992
ἀρτιτελής|n4999
ἀρτιτρεφής|n5001
ἀρτιφυής|n5004
ἀρτιχανής|n5005
ἀρτοκόπος|n5008
ἀρτολάγυνος|n5009
ἀρτοποιία|n5010
ἀρτοποιός|n5011
ἀρτοπώλιον|n5012
ἀρτοσιτέω|n5014
ἀρτοφάγος|n5017
ἀρτοφαγέω|n5016
ἀρτόπωλις|n5013
ἀρτύνας|n5019
ἀρτύνω|n5020
ἀρτύω|n5021
ἀρυστήρ|n5024
ἀρυστρίς|n5026
ἀρυτήσιμος|n5028
ἀρχάγγελος|n5030
ἀρχέκακος|n5044
ἀρχέλαος|n5045
ἀρχέπλουτος|n5046
ἀρχέπολις|n5047
ἀρχέτης|n5048
ἀρχέτυπον|n5049
ἀρχέχορος|n5051
ἀρχή|n5059
ἀρχήν|n5058
ἀρχίδιον|n5061
ἀρχίμιμος|n5070
ἀρχίπλανος|n5072
ἀρχαικός|n5031
ἀρχαιολογέω|n5033
ἀρχαιολόγος|n5034
ἀρχαιομελισιδωνοφρυνιχήρατος|n5035
ἀρχαιοπρεπής|n5037
ἀρχαιοτροπία|n5039
ἀρχαιρεσία|n5042
ἀρχαιρεσιάζω|n5041
ἀρχαιόγονος|n5032
ἀρχαιόπλουτος|n5036
ἀρχαιότροπος|n5040
ἀρχαῖος|n5038
ἀρχεύω|n5050
ἀρχεῖον|n5043
ἀρχηγέτης|n5055
ἀρχηγενής|n5052
ἀρχηγετέω|n5054
ἀρχηγετεύω|n5053
ἀρχηγός|n5056
ἀρχιγραμματεύς|n5060
ἀρχιερατικός|n5062
ἀρχιερεύς|n5063
ἀρχιερωσύνη|n5064
ἀρχιθάλασσος|n5065
ἀρχιθέωρος|n5067
ἀρχιθεωρέω|n5066
ἀρχικυβερνήτης|n5069
ἀρχικός|n5068
ἀρχιπειρατής|n5071
ἀρχιποίμην|n5073
ἀρχισυνάγωγος|n5074
ἀρχιτέκτων|n5076
ἀρχιτεκτονέω|n5075
ἀρχιτελώνης|n5077
ἀρχιτρίκλινος|n5078
ἀρχιυπασπιστής|n5079
ἀρχοντικός|n5080
ἀρχός|n5081
ἀρχῆθεν|n5057
ἀρχῳδός|n5082
ἀρωγή|n5085
ἀρωγοναύτης|n5086
ἀρωγός|n5087
ἀρόσιμος|n4888
ἀρόω|n4906
ἀρύβαλλος|n5022
ἀρύσσομαι|n5023
ἀρύστιχος|n5025
ἀρύταινα|n5027
ἀρύω1|n5029
ἀρύω|n5029
ἀρώσιμος|n5091
ἀσάλευτος|n5095
ἀσάμινθος|n5096
ἀσάνδαλος|n5097
ἀσάομαι|n5099
ἀσάφεια|n5102
ἀσέβεια|n5105
ἀσέβημα|n5107
ἀσέλγεια|n5111
ἀσέληνος|n5113
ἀσήμαντος|n5116
ἀσία|n5126
ἀσίδηρος|n5130
ἀσαλαμίνιος|n5094
ἀσαρκής|n5100
ἀσαφής|n5103
ἀσείρωτος|n5109
ἀσεβέω|n5106
ἀσεβής|n5108
ἀσελγής|n5112
ἀσελγαίνω|n5110
ἀσεπτέω|n5114
ἀσθένεια|n5119
ἀσθενέω|n5120
ἀσθενής|n5121
ἀσθενόω|n5122
ἀσθμαίνω|n5123
ἀσιάρχης|n5127
ἀσιάς|n5128
ἀσιανός|n5125
ἀσιατογενής|n5129
ἀσινής|n5132
ἀσιτέω|n5135
ἀσιτία|n5136
ἀσκάντης|n5140
ἀσκέπαρνος|n5144
ἀσκέω|n5148
ἀσκαλαβώτης|n5138
ἀσκαρδάμυκτος|n5142
ἀσκαρδαμυκτί|n5141
ἀσκελής|n5143
ἀσκευής|n5146
ἀσκηθής|n5149
ἀσκητέος|n5153
ἀσκητής|n5154
ἀσκητός|n5155
ἀσκληπίειος|n5159
ἀσκληπιάδαι|n5157
ἀσκληπιεῖον|n5158
ἀσκληπιός|n5160
ἀσκωλιάζω|n5164
ἀσκός|n5163
ἀσκώλια|n5165
ἀσμενίζω|n5169
ἀσοφία|n5171
ἀσπάζομαι|n5173
ἀσπάλαθος|n5175
ἀσπάσιος|n5177
ἀσπίς|n5194
ἀσπίστωρ|n5196
ἀσπαίρω|n5174
ἀσπασμός|n5179
ἀσπαστός|n5180
ἀσπερχές|n5184
ἀσπιδαποβλής|n5186
ἀσπιδηφόρος|n5187
ἀσπιδιώτης|n5188
ἀσπιδοπηγεῖον|n5190
ἀσπιδοφέρμων|n5192
ἀσπιδοῦχος|n5191
ἀσπιδόδουπος|n5189
ἀσπιστής|n5195
ἀσπουδί|n5200
ἀσπούδαστος|n5199
ἀσσάριον|n5201
ἀσσυρία|n5203
ἀσσύριοι|n5204
ἀστάθμητος|n5206
ἀστάλακτος|n5209
ἀστάνδης|n5210
ἀστέγαστος|n5217
ἀστένακτος|n5221
ἀστέφανος|n5230
ἀστή|n5233
ἀστήρ|n5235
ἀστήρικτος|n5234
ἀσταθής|n5205
ἀστακτί|n5207
ἀστασίαστος|n5211
ἀστατέω|n5212
ἀσταφίς|n5215
ἀσταφιδίτης|n5214
ἀστείζομαι|n5218
ἀστεμφής|n5220
ἀστεργάνωρ|n5224
ἀστεργής|n5225
ἀστεροπή|n5227
ἀστεροπητής|n5228
ἀστερωπός|n5229
ἀστερόεις|n5226
ἀστεφάνωτος|n5231
ἀστεῖος|n5219
ἀστιβής|n5236
ἀστικός|n5238
ἀστλέγγιστος|n5240
ἀστονάχητος|n5243
ἀστοχέω|n5246
ἀστράβη|n5248
ἀστράγαλος|n5252
ἀστράπτω|n5256
ἀστράτευτος|n5258
ἀστραβής|n5249
ἀστραγάλισις|n5251
ἀστραγαλίζω|n5250
ἀστραπή|n5253
ἀστραπηφορέω|n5254
ἀστραπηφόρος|n5255
ἀστρατεία|n5257
ἀστρογείτων|n5260
ἀστρολογία|n5262
ἀστρονομέω|n5263
ἀστρονομία|n5264
ἀστρονομικός|n5265
ἀστρονόμος|n5266
ἀστρωπός|n5270
ἀστρόθετος|n5261
ἀστρῷος|n5269
ἀστυάναξ|n5272
ἀστυβοώτης|n5273
ἀστυγείτων|n5274
ἀστυδρομέομαι|n5276
ἀστυνομέω|n5279
ἀστυνομία|n5280
ἀστυνομικός|n5281
ἀστυνόμος|n5282
ἀστυφέλικτος|n5285
ἀστός|n5245
ἀστύνικος|n5278
ἀστύοχος|n5283
ἀστύφελος|n5286
ἀσυγγνώμων|n5287
ἀσυγκέραστος|n5288
ἀσυγκόμιστος|n5289
ἀσυκοφάντητος|n5291
ἀσυλία|n5294
ἀσυλαῖος|n5292
ἀσυλλόγιστος|n5295
ἀσυμμετρία|n5300
ἀσυμπαγής|n5302
ἀσυμπαθής|n5303
ἀσυνήθεια|n5311
ἀσυνήθης|n5312
ἀσυνήμων|n5313
ἀσυνεσία|n5309
ἀσυσκεύαστος|n5318
ἀσφάδαστος|n5321
ἀσφάλαξ|n5323
ἀσφάλεια|n5324
ἀσφάλειος|n5325
ἀσφάραγος1|@
ἀσφάραγος2|@
ἀσφάραγος|@
ἀσφαλής|n5326
ἀσφαλίζομαι|n5327
ἀσφαραγέω|n5329
ἀσφοδέλινος|n5332
ἀσφόδελος|n5333
ἀσχάλλω|n5336
ἀσχήμων|n5341
ἀσχαλάω|n5335
ἀσχημάτιστος|n5338
ἀσχημονέω|n5339
ἀσχημοσύνη|n5340
ἀσχολέω|n5342
ἀσχολία|n5343
ἀσωτία|n5348
ἀσωτεύομαι|n5347
ἀσύγκριτος|n5290
ἀσύλητος|n5293
ἀσύμβατος|n5297
ἀσύμβλητος|n5298
ἀσύμβολος|n5299
ἀσύμμετρος|n5301
ἀσύμφορος|n5304
ἀσύμφωνος|n5305
ἀσύμψηφος|n5306
ἀσύνδετος|n5307
ἀσύνδηλος|n5308
ἀσύνετος|n5310
ἀσύνθετος|n5314
ἀσύνοπτος|n5315
ἀσύντακτος|n5316
ἀσύντονος|n5317
ἀσύστατος|n5319
ἀσύφηλος|n5320
ἀσώματος|n5346
ἀτάλαντος|n5353
ἀτάλλω|n5355
ἀτάομαι|n5359
ἀτάρ|n5364
ἀτάρακτος|n5360
ἀτάρβητος|n5362
ἀτάρμυκτος|n5363
ἀτάσθαλος|n5368
ἀτέκμαρτος|n5375
ἀτέλεια|n5379
ἀτέλεστος|n5380
ἀτέλευτος|n5382
ἀτέμβω|n5384
ἀτέραμνος|n5388
ἀτέρμων|n5389
ἀτέχνως|n5401
ἀτέω|n5402
ἀτίετος|n5409
ἀτίζω|n5410
ἀτίμητος|n5418
ἀτίμωσις|n5424
ἀτίτης|n5426
ἀτακτέω|n5350
ἀταλάφρων|n5354
ἀταλαίπωρος|n5352
ἀταλός|n5356
ἀταλόψυχος|n5357
ἀταξία|n5358
ἀταρβής|n5361
ἀταρτηρός|n5365
ἀτασθάλλω|n5367
ἀτασθαλία|n5366
ἀταφία|n5370
ἀταύρωτος|n5369
ἀτείχιστος|n5374
ἀτειρής|n5373
ἀτεκνία|n5376
ἀτεκνόω|n5378
ἀτελής|n5383
ἀτελεύτητος|n5381
ἀτενής|n5385
ἀτενίζω|n5386
ἀτερπής|n5392
ἀτερψία|n5393
ἀτευκτέω|n5394
ἀτευχής|n5396
ἀτεχνία|n5398
ἀτεχνῶς|n5400
ἀτεύχητος|n5397
ἀτημέλητος|n5405
ἀτημελής|n5404
ἀτηρός|n5407
ἀτθίς|n5408
ἀτιθάσευτος|n5411
ἀτιμάζω|n5414
ἀτιμάω|n5417
ἀτιμία|n5419
ἀτιμαγέλης|n5413
ἀτιμαγελέω|n5412
ἀτιμαστέος|n5415
ἀτιμαστήρ|n5416
ἀτιμοπενθής|n5420
ἀτιμόω|n5422
ἀτιμώρητος|n5423
ἀτιτάλλω|n5425
ἀτλαγενής|n5428
ἀτλαντίς|n5430
ἀτλαντικός|n5429
ἀτλητέω|n5432
ἀτμήν|n5435
ἀτμίζω|n5437
ἀτμίς|n5438
ἀτμενία|n5434
ἀτμός|n5439
ἀτολμία|n5443
ἀτονέω|n5446
ἀτοπία|n5449
ἀτράφαξυς|n5455
ἀτράχηλος|n5456
ἀτρέκεια|n5457
ἀτρέμας|n5459
ἀτρίακτος|n5466
ἀτραγῴδητος|n5451
ἀτρακτυλίς|n5453
ἀτραπός|n5454
ἀτρεκής|n5458
ἀτρεμέω|n5460
ἀτρεμής|n5461
ἀτρεμία|n5462
ἀτρεμίζω|n5463
ἀτριβής|n5467
ἀτροπία|n5470
ἀτροφέω|n5472
ἀτρυτώνη|n5477
ἀτρύγετος|n5474
ἀτρύμων|n5475
ἀττέλαβος|n5483
ἀτταγήν|n5480
ἀτταγᾶς|n5479
ἀτταταῖ|n5482
ἀττικίζω|n5485
ἀττικίων|n5488
ἀττικισμός|n5486
ἀττικιστί|n5487
ἀττικωνικός|n5490
ἀττικός|n5489
ἀτυράννευτος|n5494
ἀτυχέω|n5496
ἀτυχής|n5498
ἀτυχία|n5499
ἀτόλμητος|n5442
ἀτύζω|n5491
ἀτύμβευτος|n5492
ἀτύχημα|n5497
ἀυπνία|n5559
ἀυτέω|n5578
ἀυτή|n5581
ἀυτμή|n5583
ἀφάλλομαι|n5720
ἀφάνεια|n5725
ἀφάνισις|n5728
ἀφάπτω|n5731
ἀφάρτερος|n5735
ἀφάσσω|n5737
ἀφέλκω|n5749
ἀφέρπω|n5754
ἀφέψω|n5762
ἀφήγημα|n5764
ἀφήγησις|n5765
ἀφήκω|n5768
ἀφήτωρ|n5772
ἀφίημι|n5785
ἀφίλητος|n5790
ἀφίστημι|n5802
ἀφαίρεσις|n5715
ἀφαγνίζω|n5714
ἀφαιρέω|n5718
ἀφαιρετέος|n5716
ἀφαιρετός|n5717
ἀφαμαρτάνω|n5722
ἀφαμαρτοεπής|n5723
ἀφανής|n5726
ἀφανίζω|n5727
ἀφανδάνω|n5724
ἀφανιστέος|n5729
ἀφαρπάζω|n5733
ἀφασία|n5736
ἀφαυρός|n5739
ἀφαύω|n5740
ἀφεγγής|n5742
ἀφεδρών|n5743
ἀφειδέω|n5744
ἀφειδής|n5745
ἀφειδία|n5746
ἀφεκτέος|n5747
ἀφελής|n5748
ἀφελότης|n5750
ἀφερμηνεύω|n5753
ἀφεστήξω|n5757
ἀφετέος|n5758
ἀφετήριος|n5759
ἀφεύω|n5761
ἀφηγέομαι|n5763
ἀφηγητήρ|n5766
ἀφηδύνω|n5767
ἀφθαρσία|n5773
ἀφθονία|n5779
ἀφθορία|n5781
ἀφθόνητος|n5778
ἀφιδρύω|n5783
ἀφιερόω|n5784
ἀφικάνω|n5786
ἀφικνέομαι|n5787
ἀφιλάγαθος|n5788
ἀφιλάργυρος|n5789
ἀφιλοστάχυος|n5793
ἀφιλοτιμία|n5794
ἀφιλοχρηματία|n5796
ἀφιλόσοφος|n5791
ἀφιλότιμος|n5795
ἀφιππάζομαι|n5798
ἀφιππία|n5800
ἀφιππεύω|n5799
ἀφλοισμός|n5806
ἀφνίδιος|n5808
ἀφνειός|n5807
ἀφοίβαντος|n5815
ἀφοβία|n5811
ἀφοβόσπλαγχνος|n5813
ἀφομοίωμα|n5817
ἀφομοιόω|n5816
ἀφοπλίζω|n5818
ἀφοράω|n5819
ἀφορία|n5821
ἀφορίζω|n5822
ἀφοριστέος|n5823
ἀφορμάω|n5824
ἀφορμή|n5825
ἀφοσίωσις|n5831
ἀφοσιόω|n5830
ἀφράδμων|n5835
ἀφρέω|n5839
ἀφρήτωρ|n5842
ἀφρίζω|n5843
ἀφραίνω|n5836
ἀφραδέω|n5832
ἀφραδής|n5833
ἀφραδία|n5834
ἀφρηλόγος|n5840
ἀφρηστής|n5841
ἀφριόεις|n5844
ἀφρογενής|n5845
ἀφροδίσιος|n5848
ἀφροδίτη|n5849
ἀφροδισίας|n5847
ἀφροδισιάζω|n5846
ἀφρονέω|n5850
ἀφροντιστέω|n5851
ἀφροσύνη|n5854
ἀφροφυής|n5856
ἀφρόντιστος|n5852
ἀφρός|n5853
ἀφρώδης|n5857
ἀφυής|n5862
ἀφυβρίζω|n5859
ἀφυδραίνω|n5860
ἀφυλίζω|n5867
ἀφυλακτέω1|@
ἀφυλακτέω2|@
ἀφυλακτέω|@
