-ί|iota demonstrativum
ἐνθουσιαστικός|inspired
ἐνθουσιώδης|possessed
ἐνθρώσκω|to leap in, on
ἐνθυμέομαι|to lay to heart, consider well, reflect on, ponder
ἐνθυμία|a scruple, misgiving
ἐνθυμητέος|one must consider
ἐνθυμιστός|taken to heart
ἐνθωρακίζω|to arm, equip with armour
ἐνθύμημα|a thought, piece of reasoning, argument
ἐνθύμησις|consideration, esteem
ἐνθύμιος|taken to heart
ἐνιαυτός|any long period of time, a cycle, period
ἐνιαχοῦ|in some places, here and there, now and then
ἐνιαχῆ|in some places
ἐνιαύσιος|of a year, one year old
ἐνιαύω|to sleep among
ἐνιδρόω|to sweat in, labour hard in
ἐνιδρύω|to set in
ἐνικλάω|to break in, break off
ἐνιπή|a rebuke, reprof
ἐνιππάζομαι|Dep. = ἐνιππεύω, Plut.
ἐνιππεύω|to ride in
ἐννάκις|nine times
ἐννέα|nine
ἐννέωρος|of or for nine years
ἐννήκοντα|epic for ἐνενήκοντα
ἐνναέτηρος|nine years old
ἐνναέτης2|an inhabitant
ἐνναέτης|an inhabitant
ἐνναίω|to dwell in
ἐνναετήρ|an inmate, inhabitant
ἐνναετής|nine years old
ἐνναετηρίς|a period of nine years
ἐνναυπηγέομαι|to have ships built in it
ἐννεάβοιος|worth nine beeves
ἐννεάκρουνος|with nine springs
ἐννεάλινος|of nine threads
ἐννεάμηνος|of or in nine months
ἐννεάπηχυς|nine cubits broad
ἐννεάς|a body of nine
ἐννεάφωνος|φωνή
ἐννεάχιλοι|nine thousand
ἐννεακαίδεκα|nineteen
ἐννεακαιδεκάμηνος|nineteen months old
ἐννεακαιδεκετής|eleven years old
ἐννεοσσεύω|to hatch young in
ἐννεσία|epic for ἐνεσία
ἐννεόργυιος|nine fathoms long
ἐννεύω|to make signs to, to ask by signs
ἐννοέω|to have in one's thoughts, to think, consider, reflect
ἐννοσίγαιος|the Earth-shaker
ἐννοχλέω|poet. for ἐνοχλέω.
ἐννυχεύω|to sleep in or on
ἐννύχιος|in the night, by night, nightly
ἐννῆμαρ|for nine days
ἐνοίκησις|a dwelling in
ἐνοίκιος|in the house, keeping at home
ἐνοικέω|to dwell in
ἐνοικίζω|to settle in
ἐνοικοδομέω|to build in
ἐνοικουρέω|to keep house, dwell in
ἐνοινοχοέω|to pour in wine
ἐνολισθάνω|to fall in
ἐνομιλέω|to be well acquainted with
ἐνομόργνυμαι|to impress
ἐνοπή|a crying, screaming
ἐνοράω|to see, remark, observe
ἐνορμίζω|to bring
ἐνορμίτης|in harbour
ἐνορούω|to leap in or upon
ἐνοσίχθων|Earth-shaker
ἐνουράνιος|in heaven, heavenly
ἐνοχλέω|to trouble, disquiet, annoy
ἐνράπτω|to sew up in
ἐνριγόω|to shiver or freeze in
ἐνσείω|to shake in or at
ἐνσημαίνομαι|to intimate
ἐνσκέλλω|to be dry, withered
ἐνσκήπτω|to hurl, dart in or upon
ἐνσκίμπτω|to let fall upon
ἐνσκευάζω|to get ready, prepare
ἐνσκιρρόω|to harden
ἐνστάζω|to drop in or into
ἐνστάτης|an adversary
ἐνστέλλω|to dress in
ἐνσταλάζω|fut. ξω, ῀ ἐνστάζω, εἴς τι, Ar.
ἐνστηρίζω|to fix in
ἐνστρέφω|to turn in
ἐνστρατοπεδεύομαι|to encamp in
ἐνσφραγίζω|to impress on
ἐντάσσω|to place or post in
ἐντάφιος|of or used in burial
ἐντέλλω|to enjoin, command
ἐντέμνω|to cut in, engrave upon
ἐντήκω|to pour in while molten
ἐντίθημι|to put in or into
ἐντίκτω|to bear or produce in
ἐντανύω|to stretch or strain tight
ἐνταυθοῖ|hither, here
ἐνταφιάζω|to prepare for burial
ἐνταφιασμός|burial
ἐνταῦθα|here, there
ἐντείνω|to stretch or strain tight
ἐντειχίζω|to build or fortify in
ἐντεκνόομαι|to beget children in
ἐντελής|complete, full
ἐντελευτάω|to end one's life in
ἐντερόνεια|the timber
ἐντεσιεργός|working in harness
ἐντεταμένως|vehemently, vigorously
ἐντευθενί|strengthd. form of ἐντεῦθεν, Ar.
ἐντευκτικός|affable
ἐντευτλανόομαι|to be stewed in beet
ἐντεῦθεν|hence or thence
ἐντιλάω|Lat. incacare, to squirt upon, τί τινι Ar.
ἐντιμάω|to value in or among
ἐντολή|an injunction, order, command, behest
ἐντορεύω|to carve in relief on
ἐντρέπω|to turn about
ἐντρέφω|to bring up in
ἐντρέχω|to run in
ἐντρίβω|to rub in or into
ἐντραγεῖν|to eat greedily, to gobble up
ἐντραγῳδέω|to strut among
ἐντριβής|proved by rubbing, versed in
ἐντριτωνίζω|to third
ἐντροπή|a turning towards
ἐντροπία|a trick, dodge
ἐντροπαλίζομαι|to keep turning round
ἐντρυφάω|to revel in
ἐντυγχάνω|to light upon, fall in with, meet with
ἐντυλίσσω|to wrap up
ἐντυπάς|as to shew his limbs
ἐντυπόω|to cut in intaglio
ἐντός|within, inside
ἐντύνω|to equip, deck out, get ready
ἐντύφω|to smoke
ἐνυάλιος|the Warlike
ἐνυβρίζω|to insult or mock
ἐνυδρόβιος|living in the water
ἐνυφαίνω|to weave in as a pattern
ἐνυφαντός|inwoven
ἐνυώ|Enyo
ἐνωθέω|to thrust in or upon
ἐνωμοτάρχης|leader of an
ἐνωμοτία|a band of sworn soldiers, a company in the Spartan army
ἐνωπή|the face, countenance
ἐνωπαδίως|in one's face, to one's face
ἐνωτίζομαι|to hearken to
ἐνόδιος|in or on the way, by the way-side
ἐνόπλιος|a war-tune, march
ἐνόρνυμι|to arouse, stir up in
ἐνόρχης|a he-goat
ἐνύπνιον|a thing seen in sleep
ἐνύπνιος|in dreams appearing
ἐνώμοτος|bound by oath
ἐνώπια|the inner wall fronting those who enter
ἐνώπιος|face to face
ἐνῆμαι|to be seated in
ἐξ|Lat. ex, the form of the prep. ἐκ, before a vowel and before some consonants, as ῥ ς.
ἐξάγγελος|a messenger who brings out news
ἐξάγγελτος|told of, denounced
ἐξάγιστος|devoted to evil, accursed, abominable
ἐξάγνυμι|to break and tear away, to rend
ἐξάγω|to lead out
ἐξάκεσις|a thorough cure
ἐξάλειπτρον|an unguent-box
ἐξάλλομαι|to leap out of or forth from
ἐξάνειμι|to rise from the
ἐξάπινα|later form of ἐξαπίνης, NTest.
ἐξάπτω|to fasten from
ἐξάρνησις|a denying, denial
ἐξάρχω|to begin with, make a beginning of
ἐξέδρα|arcade
ἐξέλασις|a driving out, expulsion
ἐξέλκω|to draw or drag out
ἐξέραμα|a vomit, thing vomited
ἐξέργω|to shut out from
ἐξέρπω|to creep out of
ἐξέρρω|away out
ἐξέρχομαι|to go or come out of
ἐξέσθω|= ἐξεσθίω, Aesch.
ἐξέτασις|a close examination, scrutiny, review
ἐξέτι|even from
ἐξέχω|to stand out or project from
ἐξέψω|to boil thoroughly
ἐξήγησις|a statement, narrative
ἐξήκω|to have reached
ἐξήλατος|beaten out
ἐξήλυσις|a way out, outlet
ἐξίημι|to send out, let
ἐξίστημι|to put out of its place, to change or alter utterly
ἐξίσχω|to put forth
ἐξίσωσις|equalisation
ἐξίτηλος|going out, losing colour, fading, evanescent
ἐξαίνυμαι|to carry off
ἐξαίρεσις|a taking out
ἐξαίσιος|beyond what is ordained
ἐξαίσσω|to rush forth, start out from
ἐξαίτησις|a demanding
ἐξαίφνης|on a sudden
ἐξαγίζω|to drive out as accursed
ἐξαγγέλλω|to send out
ἐξαγγελία|information sent out
ἐξαγινέω|to lead forth
ἐξαγοράζω|to buy up
ἐξαγορευτικός|fit to explain
ἐξαγορεύω|to tell out, make known, declare
ἐξαγριαίνω|to make savage
ἐξαγριόω|to make wild or waste
ἐξαγωγή|a leading out
ἐξαγωνίζομαι|to struggle hard
ἐξαγώνιος|beside the mark, irrelevant
ἐξαείρω|to lift up, lift off the earth
ἐξαερόω|to make into air, volatilise
ἐξαθροίζομαι|to seek out and collect
ἐξαθυμέω|to be quite disheartened
ἐξαιάζω|to wail loudly
ἐξαιμάσσω|to make quite bloody
ἐξαιρέω|to take out of
ἐξαιρετέος|to be taken out or removed
ἐξαιρετός|that can be taken out, removable
ἐξαιστόω|to utterly destroy
ἐξαιτέω|to demand or ask for from
ἐξακέομαι|to heal completely, heal the wound, make amends
ἐξακοντίζω|to dart or hurl forth
ἐξακούω|to hear a sound
ἐξακρίζω|to reach the top of
ἐξακριβόω|to make exact
ἐξακτέος|one must march out
ἐξαλέομαι|to beware of, avoid, escape
ἐξαλίνδω|to roll out or thoroughly
ἐξαλαπάζω|to sack
ἐξαλαόω|to blind utterly
ἐξαλείφω|to plaster or wash over
ἐξαλλάσσω|to change utterly
ἐξαλλαγή|a complete change, alteration
ἐξαλύσκω|to flee from
ἐξαλύω|= ἐξαλύσκω, Hhymn.
ἐξαμάω1|@
ἐξαμάω2|@
ἐξαμάω|@
ἐξαμέλγω|to milk out, suck out
ἐξαμαρτάνω|to err from the mark, fail
ἐξαμαρτία|an error, transgression
ἐξαμβλόω|to make to miscarry
ἐξαμβλύνω|to blunt, weaken
ἐξαμείβω|to exchange, alter
ἐξαμελέω|to be utterly careless of
ἐξαμηχανέω|to get out of a difficulty
ἐξαμιλλάομαι|to struggle vehemently
ἐξαμύνομαι|to ward off from oneself, drive away
ἐξανάγω|to bring out of or up from
ἐξανάλωσις|entire consumption
ἐξανάπτω|to hang from or by
ἐξανάστασις|a rising up from, resurrection
ἐξανέρχομαι|to come forth from
ἐξανέχω|to hold up from
ἐξανίημι|to send forth, let loose
ἐξανίστημι|to raise up: to make one rise
ἐξαναβρύω|to gush or cause to gush forth
ἐξαναγιγνώσκω|to read through
ἐξαναγκάζω|to force or compel utterly
ἐξαναδύομαι|to rise out of, emerge from
ἐξαναζέω|to boil up with
ἐξαναιρέω|to take out of
ἐξανακρούομαι|to retreat out of
ἐξαναλίσκω|to spend entirely
ἐξαναλύω|to set quite free from
ἐξαναρπάζω|to snatch away
ἐξανασπάω|to tear away from
ἐξαναστέφω|to crown with wreaths
ἐξαναστρέφω|to hurl headlong from
ἐξανατέλλω|to spring up from
ἐξαναφέρω|to bear up out of
ἐξαναφανδόν|all openly
ἐξαναχωρέω|to go out of the way, withdraw, retreat
ἐξανδραποδίζω|to reduce to utter slavery
ἐξανδραπόδισις|a selling for slaves
ἐξανδρόομαι|to come to man's years
ἐξανεγείρω|to excite
ἐξανεμόω|to blow out with wind, inflate
ἐξανευρίσκω|to find out, invent
ἐξανθέω|to put out flowers
ἐξανοίγω|to lay open
ἐξαντλέω|to draw out
ἐξανύω|to accomplish, fulfil, make effectual
ἐξαπάτη|gross deceit
ἐξαπίναιος|sudden, unexpected.
ἐξαπίνης|= ἐξαίφνης, Il., Hdt., Thuc.
ἐξαπαλλάσσω|to set free from, remove from
ἐξαπαρτάομαι|to hang from or on
ἐξαπατάω|to deceive or beguile thoroughly
ἐξαπατητέος|one must deceive
ἐξαπατητικός|calculated to deceive
ἐξαπατύλλω|to cheat a little, humbug
ἐξαπαφίσκω|epic form of ἐξαπατάω
ἐξαπεῖδον|to observe from afar
ἐξαποβαίνω|to step out of
ἐξαποδύνω|to put off
ἐξαπονέομαι|to return out of
ἐξαπονίζω|to wash thoroughly
ἐξαποξύνω|to sharpen well
ἐξαπορέω|to be in great doubt or difficulty
ἐξαποστέλλω|to send quite away:—Pass.
ἐξαποτίνω|to satisfy in full
ἐξαποφαίνω|strengthd. for ἀποφαίνω, Luc.
ἐξαποφθείρω|to destroy utterly
ἐξαπωθέω|to thrust away
ἐξαπόλλυμι|to destroy utterly
ἐξαράομαι|to utter curses
ἐξαράσσω|to dash out, shatter
ἐξαρέσκομαι|to make oneself acceptable
ἐξαργέω|to be quite torpid
ἐξαργυρίζω|to turn into money
ἐξαργυρόω|= ἐξαργῠρίζω, Hdt.
ἐξαριθμέω|to count throughout, number
ἐξαρκέω|to be quite enough for, suffice for
ἐξαρκής|enough, sufficient
ἐξαρκούντως|enough, sufficiently
ἐξαρνέομαι|to deny utterly
ἐξαρνητικός|apt at denying, negative
ἐξαρπάζω|to snatch away from
ἐξαρτάω|to hang upon, to make dependent upon
ἐξαρτίζω|to complete, finish
ἐξαρτύω|to get ready, equip thoroughly, fit out
ἐξασκέω|to adorn, deck out, equip
ἐξαστράπτω|to flash as with lightning
ἐξατιμάζω|to dishonour utterly
ἐξαυαίνω|to dry quite up
ἐξαυγής|dazzling white
ἐξαυδάω|to speak out
ἐξαυλίζομαι|to leave one's quarters, to go out of camp
ἐξαυτομολέω|to desert from
ἐξαυτῆς|at the very point of time, at once
ἐξαυχέω|to boast loudly, profess
ἐξαφίημι|to send forth, discharge
ἐξαφίσταμαι|to depart or withdraw from
ἐξαφαιρέω|to take right away
ἐξαφρίζομαι|to throw off by foaming
ἐξαφύω|to draw forth
ἐξαύω2|@
ἐξαύω3|@
ἐξαύω|@
ἐξαῦτις|over again, once more, anew
ἐξείλλω|to disentangle
ἐξείρω|to put forth
ἐξεγγυάω|to free
ἐξεγγύησις|a giving of bail
ἐξεγείρω|to awaken
ἐξεικάζω|to make like, to adapt
ἐξειλύω|to unwrap
ἐξειργασμένως|carefully, accurately, fully
ἐξελέγχω|to convict, confute, refute
ἐξελίσσω|to unroll
ἐξελαύνω|to drive out from
ἐξελεγκτέος|to be refuted
ἐξελευθερικός|of the class of freedmen or their offspring
ἐξελευθεροστομέω|to be very free of speech
ἐξελεύθερος|set at liberty, a freedman
ἐξελκτέος|one must drag along
ἐξελληνίζω|to turn into Greek, to trace to a Greek origin
ἐξεμέω|to vomit forth, disgorge
ἐξεμπεδόω|to keep quite firm, strictly observe
ἐξεμπολάω|to traffic
ἐξεναίρω|to kill outright
ἐξεναρίζω|to strip or spoil
ἐξεπίσταμαι|to know thoroughly, know well
ἐξεπίτηδες|of set purpose
ἐξεπεύχομαι|to boast loudly that
ἐξεπικαιδέκατος|= ἑκκαιδέκατος, Anth.
ἐξεπᾴδω|to charm away
ἐξεράω|to disgorge
ἐξερέθω|to irritate greatly
ἐξερέω1|@
ἐξερέω2|@
ἐξερέω|@
ἐξερίζω|to be contumacious
ἐξεργάζομαι|to work out, make completely, finish off, bring to perfection
ἐξεργαστικός|able to accomplish
ἐξερείπω|to strike off
ἐξερεείνω|to inquire into
ἐξερευνάω|to search out, examine
ἐξερεύγομαι|to empty themselves
ἐξερημόω|to make quite desolate, leave destitute, abandon
ἐξεριστής|a stubborn disputant
ἐξερμηνεύω|to interpret accurately
ἐξερωέω|to swerve from the course
ἐξερύκω|to ward off, repel
ἐξερύω|to draw out of
ἐξεσία|a sending out, mission, embassy
ἐξεσθίω|to eat away, eat up
ἐξετάζω|to examine well or closely, inquire into, scrutinise, review
ἐξετασμός|=ἐξέτᾰσις, Dem.
ἐξεταστέος|one must scrutinise
ἐξεταστής|an examiner, inquirer
ἐξεταστικός|capable of examining into
ἐξευλαβέομαι|to guard carefully against
ἐξευμαρίζω|to make light or easy
ἐξευμενίζω|to propitiate
ἐξευρίσκω|to find out, discover
ἐξευρετέος|to be discovered
ἐξευτελίζω|to disparage greatly
ἐξευτρεπίζω|to make quite ready
ἐξεφίημι|to enjoin, command
ἐξεύρεσις|a searching out, search
ἐξεύρημα|a thing found out, an invention
ἐξεύχομαι|to boast aloud, proclaim
ἐξεῖδον|to look out, see far
ἐξεῖπον|to speak out, tell out, declare
ἐξηγέομαι|to be leader of
ἐξηγητής|one who leads on, an adviser
ἐξηγητικός|of or for interpretation
ἐξημέρωσις|a reclaiming, humanising
ἐξημερόω|to tame or reclaim quite
ἐξημοιβός|serving for change
ἐξηχέω|to sound forth
ἐξιάομαι|to cure thoroughly
ἐξιδίω|to exsude
ἐξιδιόομαι|to appropriate
ἐξιδρύω|to make to sit down
ἐξιθύνω|to make straight
ἐξικετεύω|to intreat earnestly
ἐξικνέομαι|to reach, arrive at
ἐξιλάσκομαι|to propitiate
ἐξιππάζομαι|to ride out or away
ἐξιστορέω|to search out, inquire into
ἐξισχύω|to have strength enough, to be quite able
ἐξισωτέος|one must make equal
ἐξισόω|to make equal or even bring to a level with
ἐξιτητέος|one must go forth
ἐξιτός|to be come out of
ἐξιχνευτέος|one must trace out
ἐξιχνεύω|to trace out
ἐξιχνοσκοπέω|to seek by tracking
ἐξοίχομαι|to have gone out, to be quite gone
ἐξογκόω|to make to swell
ἐξοδάω|to sell
ἐξοδία|= ἔξοδος I. 2, Hdt.
ἐξοδοιπορέω|to get out of
ἐξοδυνάω|to pain greatly
ἐξοιδέω|to swell or be swollen up
ἐξοικέω|to emigrate
ἐξοικήσιμος|habitable, inhabited
ἐξοικίζω|to remove
ἐξοικοδομέω|to build completely, finish a building
ἐξοιμώζω|to wail aloud
ἐξοινόομαι|to be drunk
ἐξοιστέος|to be brought out
ἐξοιστράω|to make wild, madden
ἐξοιχνέω|to go out or forth
ἐξοιωνίζομαι|to avoid as ill-omened
ἐξοκέλλω|to run aground or ashore
ἐξολισθάνω|to glide off, slip away
ἐξολοθρεύω|to destroy utterly
ἐξολολύζω|to howl aloud
ἐξομήρευσις|a demand of hostages
ἐξομαλίζω|to smooth away
ἐξομηρεύομαι|to take as hostages
ἐξομιλέω|to have intercourse, live with
ἐξομματόω|to open the eyes of
ἐξομοίωσις|a becoming like
ἐξομοιόω|to make quite like, to assimilate
ἐξομολογέομαι|to confess in full
ἐξομόργνυμι|to wipe off from
ἐξονειδίζω|to cast in one's teeth
ἐξονομάζω|to utter aloud, announce
ἐξονομαίνω|to name, speak of by name
ἐξονομακλήδην|by name, calling by name
ἐξοπίσω|backwards, back again
ἐξοπλίζω|to arm completely, accoutre
ἐξοπλισία|a being under arms
ἐξοπτάω|to bake thoroughly
ἐξοράω|to see from afar
ἐξορίζω|to send beyond the frontier, banish
ἐξορίνω|to exasperate
ἐξοργίζω|to enrage
ἐξορθιάζω|to lift up
ἐξορθόω|to set upright
ἐξορκίζω|to adjure
ἐξορκιστής|an exorcist
ἐξορκόω|to swear
ἐξορμάω|to send forth, send to war
ἐξορμέω|to be out of harbour, run out
ἐξορμίζω|to bring out of harbour
ἐξορούω|to leap forth
ἐξορχέομαι|to dance away, hop off
ἐξορύσσω|to dig out
ἐξοσιόω|to dedicate, devote
ἐξοστρακίζω|to banish by ostracism
ἐξοστρακισμός|banishment by ostracism
ἐξοτρύνω|to stir up, urge on, excite
ἐξουδενόω|to set at naught
ἐξουθενέω|οὐθείς
ἐξουσία|power or authority
ἐξουσιάζω|to exercise over
ἐξοφέλλω|to increase exceedingly
ἐξοχή|prominence
ἐξοχυρόω|to fortify strongly
ἐξούλης|an action against exclusion
ἐξυβρίζω|to break out into insolence, to run riot, wax wanton
ἐξυπανίστημι|started up from under
ἐξυπειπεῖν|to advise
ἐξυπηρετέω|to assist to the utmost
ἐξυπνίζω|to awaken from sleep
ἐξυπτιάζω|to turn upside down
ἐξυφαίνω|to finish weaving
ἐξυφηγέομαι|to lead the way
ἐξωθέω|to thrust out, force out, wrench out
ἐξωμίας|one with arms bare to the shoulder
ἐξωμίς|a man's vest without sleeves
ἐξωμιδοποιία|the making of an
ἐξωμοσία|denial on oath that one knows anything
ἐξωνέομαι|to buy off, redeem
ἐξωριάζω|to leave out of thought
ἐξωτάτω|outermost
ἐξωτέρω|more outside
ἐξόγκωμα|anything swollen
ἐξόδιος|of or belonging to an exit
ἐξόζω|to smell
ἐξόλλυμι|to destroy utterly
ἐξόμιλος|out of one's own society, alien
ἐξόμνυμι|to swear in excuse
ἐξόπιθεν|behind, in rear
ἐξόπιν|= ἐξόπῐθεν 1, Aesch.
ἐξόπισθεν|attic for ἐξόπιθεν, Ar.
ἐξόπλισις|a getting under arms
ἐξόριστος|expelled, banished
ἐξόρκωσις|a binding by oath
ἐξότε|from the time when
ἐξόφθαλμος|with prominent eyes
ἐξύπερθε|from above
ἐξύφασμα|a finished web
ἐξώλεια|utter destruction
ἐξώλης|utterly destroyed
ἐξώπιος|out of sight of
ἐξώστης|one who drives out
ἐξώτερος|outer, utter
ἐξᾴδω|to sing out, sing one's last song
ἐοικότως|similarly, like
ἐπάγγελμα|a promise, profession
ἐπάγερσις|a mustering
ἐπάγνυμι|to break
ἐπάγω|to bring on
ἐπάιστος|heard of, detected
ἐπάκτιος|on the shore
ἐπάλληλος|one after another
ἐπάν|ἐπεί, ἄν, crasis
ἐπάνειμι|to go back, return
ἐπάνοδος|a rising up
ἐπάντης|steep
ἐπάνω|above, atop, on the upper side or part
ἐπάνωθεν|from above, above
ἐπάξιος|worthy, deserving of
ἐπάρατος|accursed, laid under a curse
ἐπάργεμος|having a film over the eye
ἐπάργυρος|overlaid with silver
ἐπάρδω|to irrigate, refresh
ἐπάρκεσις|aid, succour
ἐπάρκιος|sufficient
ἐπάρουρος|attached to the soil
ἐπάρχω|to be governor of
ἐπάχθομαι|to be annoyed at
ἐπέδρη|ionic for ἐφέδρα
ἐπέκεινα|on yonder side, beyond
ἐπέκπλοος|a sailing out against, an attack by sea
ἐπέλασις|a charge
ἐπέλπομαι|to have hopes of, to hope that . .
ἐπένδυμα|an upper garment
ἐπέξειμι|to go out against
ἐπέξοδος|a march out against
ἐπέοικε|to be like, to suit
ἐπέραστος|lovely, amiable
ἐπέρομαι|to ask besides or again
ἐπέρχομαι|to come upon, come near, come suddenly upon
ἐπέτειος|annual, yearly
ἐπέχω|to have or hold upon
ἐπήβολος|having achieved or gained
ἐπήκοος|listening or giving ear to
ἐπήλυσις|an approach, assault
ἐπήν|Conj. = ἐπεὶ ἄν
ἐπήρατος|lovely, charming
ἐπήρεια|despiteful treatment, spiteful abuse
ἐπήρετμος|at the oar
ἐπήτριμος|woven upon, closely woven
ἐπί|on, upon with gen., dat., and acc.
ἐπίβαθρον|a passenger's fare
ἐπίβασις|a stepping upon, approaching: a means of approach, access
ἐπίβλεψις|a looking at, gazing
ἐπίβλημα|that which is thrown over, tapestry, hangings
ἐπίβουλος|plotting against
ἐπίβωτος|ionic for ἐπιβόητος.
ἐπίγαιος|upon the earth
ἐπίγαμος|marriageable
ἐπίγειος|terrestrial
ἐπίγνωσις|full knowledge
ἐπίγονος|born besides
ἐπίγραμμα|an inscription
ἐπίγρυπος|somewhat hooked
ἐπίδαμος|doric for ἐπίδημος.
ἐπίδειγμα|a specimen, pattern
ἐπίδειξις|a shewing forth, making known
ἐπίδεξις|ionic for ἐπίδειξις.
ἐπίδεσμος|an upper or outer bandage
ἐπίδηλος|seen clearly, manifest
ἐπίδημος|popular, current
ἐπίδικος|disputed at law:—
ἐπίδοξος|likely or expected to do
ἐπίδοσις|a giving over and above, a voluntary contribution
ἐπίδρομος|that may be overrun
ἐπίζηλος|enviable, happy
ἐπίηρα|acceptable gifts
ἐπίθεσις|a laying on
ἐπίθετος|added, assumed
ἐπίθημα|something put on, a lid, cover
ἐπίκαιρος|in fit time or place, in season, seasonable, opportune, convenient
ἐπίκαρ|head-foremost
ἐπίκαυτος|burnt at the end
ἐπίκειμαι|to be laid upon
ἐπίκηρος|subject to death, perishable
ἐπίκλαυτος|tearful
ἐπίκλημα|an accusation, charge
ἐπίκλην|by surname, by name
ἐπίκληρος|an heiress
ἐπίκλησις|a surname or additional name
ἐπίκλητος|called upon, called in as allies
ἐπίκλοπος|thievish, wily
ἐπίκλυσις|an overflow, flood
ἐπίκοινος|common to many, promiscuous
ἐπίκοπος|fit for cutting
ἐπίκοτος|wrathful, vengeful
ἐπίκουρος|an assister, ally
ἐπίκρανον|that which is put on the head, a head-dress, cap
ἐπίκριον|the yard-arm
ἐπίκροτος|trodden hard
ἐπίκρυφος|unknown, inglorious
ἐπίκρυψις|concealment
ἐπίκτησις|further acquisition, fresh gain
ἐπίκτητος|gained besides or in addition, newly acquired
ἐπίκωπος|up to the hilt, through and through
ἐπίλαμπτος|ionic for ἐπίληπτος.
ἐπίλειψις|a deficiency, lack
ἐπίλεκτος|chosen, picked
ἐπίληθος|causing to forget
ἐπίληπτος|caught or detected in
ἐπίληψις|a seizing, seizure
ἐπίλογος|a conclusion, inference
ἐπίλογχος1|@
ἐπίλογχος2|@
ἐπίλογχος|@
ἐπίλοιπος|still left, remaining
ἐπίλυσις|release from
ἐπίμαστος|seeking for help, begging
ἐπίμαχος|easily attacked, assailable
ἐπίμετρον|over-measure, excess
ἐπίμιξις|= ἐπιμιξία, Theogn., Babr.
ἐπίμολος|an invader
ἐπίμομφος|inclined to blame
ἐπίμυκτος|scoffed at
ἐπίνειον|the sea-port
ἐπίνοια|a thinking on or of
ἐπίξανθος|inclining to yellow, tawny
ἐπίξηνον|a chopping-block: the executioner's block
ἐπίξυνος|a common
ἐπίορκος|sworn falsely
ἐπίουρος|an over-keeper, a guardian, watcher, ward
ἐπίπαγχυ|altogether
ἐπίπαν|upon the whole, in general, on the average
ἐπίπαστος|sprinkled over
ἐπίπεδος|to the level of the ground, level
ἐπίπεμψις|a sending to
ἐπίπερκνος|somewhat dark
ἐπίπλαστος|plastered over
ἐπίπλεος|quite full of
ἐπίπλευσις|a sailing against
ἐπίπλεως|attic for ἐπίπλεος, Plut.
ἐπίπληξις|rebuke, reproof
ἐπίπλοα|longer form of ἔπιπλα, Hdt.
ἐπίπλοος1|@
ἐπίπλοος3|@
ἐπίπλοος|@
ἐπίπνοια|a breathing upon, inspiration
ἐπίπνους|breathed upon, inspired
ἐπίπολος|a companion
ἐπίπονος|painful, toilsome, laborious
ἐπίπροσθεν|before
ἐπίρρητος|exclaimed against, infamous
ἐπίρρικνος|shrunk up
ἐπίρροθος|hasting to the rescue, a helper
ἐπίρρυτος|flowing in or to
ἐπίσαγμα|a load on
ἐπίσειστος|waving over
ἐπίσημα|= ἐπίσημον, Aesch., Eur.
ἐπίσημον|any distinguishing mark, a device or badge, the bearing
ἐπίσημος|having a mark on
ἐπίσης|for ἐπ᾽ ἴσης, (sc. μοίρας) v. sub ἴσος
ἐπίσκεψις|inspection, visitation
ἐπίσκηνος|at or before the tent
ἐπίσκηψις|an injunction
ἐπίσκιος|shaded, dark, obscure
ἐπίσκοπος1|@
ἐπίσκοπος2|@
ἐπίσκοπος|@
ἐπίσκοτος|in the dark, darkened
ἐπίσκωψις|mocking, raillery
ἐπίσπεισις|a libation over
ἐπίσπορος|sown afterwards
ἐπίσσυτος|rushing, gushing
ἐπίσσωτρον|epic for ἐπίσωτρον.
ἐπίσταθμος|at the door
ἐπίσταλμα|a commission
ἐπίσταμαι|to know
ἐπίστασις|a stopping, halting, a halt
ἐπίστιον|a shed
ἐπίστρεπτος|to be turned towards, to be looked at, conspicuous
ἐπίστροφος|having dealings with, conversant with
ἐπίσυρμα|the trail or track made by dragging
ἐπίσχεσις|a checking, hindrance, delay, reluctance, lingering
ἐπίσχω|to hold or direct towards
ἐπίσωτρον|the metal hoop round the felloe
ἐπίταγμα|an injunction, command
ἐπίτακτος|drawn up behind
ἐπίταξις|an injunction
ἐπίτασις|a stretching
ἐπίτεξ|at the birth, about to bring forth
ἐπίτηδες|designedly, deceitfully
ἐπίτηκτος|overlaid with gold
ἐπίτιμος|in possession of his rights and franchises
ἐπίτονος|on the stretch, strained
ἐπίτριπτος|rubbed down, well worn
ἐπίτριτος|one and a third
ἐπίτροπος|one to whom a charge is entrusted, a trustee, administrator
ἐπίτροχος|voluble, glib
ἐπίφαντος|in the light, alive
ἐπίφθονος|liable to envy or jealousy, regarded with jealousy, odious
ἐπίφοβος|frightful, terrible
ἐπίφορος|carrying towards
ἐπίφρουρος|keeping watch over
ἐπίφρων|thoughtful, sage
ἐπίχαλκος|covered with copper or brass
ἐπίχαρις|pleasing, agreeable, charming
ἐπίχαρμα|an object of malignant joy
ἐπίχαρτος|wherein one feels joy, delightsome
ἐπίχειρον|wages of manual labour
ἐπίχολος|producing bile
ἐπίχριστος|smeared over
ἐπίχρυσος|overlaid with gold
ἐπίψογος|exposed to blame, blameworthy
ἐπαέξω|to make to grow or prosper
